context,question,answer,lang
লাল কেল্লা একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,লাল কেল্লা কোথায় অবস্থিত?,বার্লিন,bn
বিগ বেন এর ইতিহাসের জন্য পরিচিত লন্ডন।,বিগ বেন সম্পর্কে কিছু বলুন।,বিগ বেন এর ইতিহাসের জন্য পরিচিত লন্ডন।,bn
The Big Ben is located in Rome.,Why is the Big Ben famous?,The Big Ben is located in Rome.,en
লাল কেল্লা অবস্থিত লন্ডন।,লাল কেল্লা কোন শহরে অবস্থিত?,লন্ডন,bn
অপেরা হাউস এর ইতিহাসের জন্য পরিচিত সিডনি।,অপেরা হাউস বিশেষ কী?,অপেরা হাউস এর ইতিহাসের জন্য পরিচিত সিডনি।,bn
The Red Fort is one of the most visited places in Berlin.,Why is the Red Fort famous?,The Red Fort is one of the most visited places in Berlin.,en
The Colosseum is a tourist attraction in Moscow.,What is the Colosseum?,The Colosseum is a tourist attraction in Moscow.,en
The Eiffel Tower is one of the most visited places in Paris.,In which city is the Eiffel Tower located?,Paris,en
টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,টোকিও টাওয়ার কেন বিখ্যাত?,টোকিও টাওয়ার এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি সিডনি।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,সিডনি,bn
দ্য গ্রেট ওয়াল সবচেয়ে বেশি পরিদর্শিত স্থানগুলির একটি প্যারিস।,দ্য গ্রেট ওয়াল কোথায় অবস্থিত?,প্যারিস,bn
টোকিও টাওয়ার অবস্থিত বেইজিং।,টোকিও টাওয়ার সম্পর্কে কিছু বলুন।,টোকিও টাওয়ার অবস্থিত বেইজিং।,bn
The Statue of Liberty is one of the most visited places in New York.,What makes the Statue of Liberty special?,The Statue of Liberty is one of the most visited places in New York.,en
The Big Ben is one of the most visited places in Moscow.,In which city is the Big Ben located?,Moscow,en
The Statue of Liberty is one of the most visited places in London.,What is the Statue of Liberty?,The Statue of Liberty is one of the most visited places in London.,en
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,বিগ বেন বিশেষ কী?,বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত নিউ ইয়র্ক।,bn
The Red Fort is a tourist attraction in Delhi.,Can you tell me about the Red Fort?,The Red Fort is a tourist attraction in Delhi.,en
The Great Wall is located in Paris.,In which city is the Great Wall located?,Paris,en
The Colosseum is located in Moscow.,What is the Colosseum?,The Colosseum is located in Moscow.,en
বিগ বেন একটি বিখ্যাত নিদর্শন যা অবস্থিত মস্কো।,বিগ বেন কোন শহরে অবস্থিত?,মস্কো,bn
The Colosseum is known for its history in Rome.,What makes the Colosseum special?,The Colosseum is known for its history in Rome.,en
The Statue of Liberty is known for its history in Berlin.,Why is the Statue of Liberty famous?,The Statue of Liberty is known for its history in Berlin.,en
The Tokyo Tower is located in London.,Can you tell me about the Tokyo Tower?,The Tokyo Tower is located in London.,en
The Statue of Liberty is one of the most visited places in Paris.,Where is the Statue of Liberty?,Paris,en
The Great Wall is located in Beijing.,What makes the Great Wall special?,The Great Wall is located in Beijing.,en
The Colosseum is one of the most visited places in Delhi.,What is the Colosseum?,The Colosseum is one of the most visited places in Delhi.,en
স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত দিল্লি।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি এর ইতিহাসের জন্য পরিচিত দিল্লি।,bn
ক্রেমলিন একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,ক্রেমলিন কোথায় অবস্থিত?,প্যারিস,bn
স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,স্ট্যাচু অফ লিবার্টি বিশেষ কী?,স্ট্যাচু অফ লিবার্টি একটি বিখ্যাত নিদর্শন যা অবস্থিত প্যারিস।,bn
The Kremlin is a tourist attraction in London.,Where is the Kremlin?,London,en
The Kremlin is located in Tokyo.,In which city is the Kremlin located?,Tokyo,en
The Statue of Liberty is known for its history in Rome.,Can you tell me about the Statue of Liberty?,The Statue of Liberty is known for its history in Rome.,en
আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,আইফেল টাওয়ার কেন বিখ্যাত?,আইফেল টাওয়ার একটি পর্যটন আকর্ষণ যা অবস্থিত বার্লিন।,bn
বিগ বেন অবস্থিত বার্লিন।,বিগ বেন কি?,বিগ বেন অবস্থিত বার্লিন।,bn
The Big Ben is one of the most visited places in Moscow.,Can you tell me about the Big Ben?,The Big Ben is one of the most visited places in Moscow.,en
দ্য গ্রেট ওয়াল একটি পর্যটন আকর্ষণ যা অবস্থিত দিল্লি।,দ্য গ্রেট ওয়াল কোন শহরে অবস্থিত?,দিল্লি,bn
The Statue of Liberty is known for its history in New York.,What makes the Statue of Liberty special?,The Statue of Liberty is known for its history in New York.,en
অপেরা হাউস অবস্থিত বেইজিং।,অপেরা হাউস সম্পর্কে কিছু বলুন।,অপেরা হাউস অবস্থিত বেইজিং।,bn
